Rank,Entity,Type,Market Cap (USD),Estimated Annual Sales to/from TSMC (USD)
9,Vivo,Downstream,~$30 billion,~$2 billion
10,MediaTek Inc.,Downstream,$50 billion,~$3 billion
11,Qualcomm Incorporated,Downstream,$200 billion,~$2 billion
12,NVIDIA Corporation,Downstream,$2.5 trillion,~$1.5 billion
13,AMD,Downstream,$300 billion,~$1.5 billion
14,Broadcom Inc.,Downstream,$700 billion,~$1 billion
15,NXP Semiconductors N.V.,Downstream,$70 billion,~$1 billion
16,Total Market Cap (Upstream + Downstream),Aggregate,$4.990 trillion,N/A
17,Total Economic Exchange (Absolute Values),Aggregate,N/A,~$26.5 billion

Rank,Entity,Type,Market Cap (USD),Estimated Annual Sales to/from Intel (USD)
1,ASML Holding N.V.,Upstream,$400 billion,~$4 billion
2,Applied Materials, Inc.,Upstream,$200 billion,~$3 billion
3,Lam Research Corporation,Upstream,$150 billion,~$2.5 billion
4,KLA Corporation,Upstream,$100 billion,~$2 billion
5,Tokyo Electron Limited,Upstream,$90 billion,~$1.5 billion
6,Dell Technologies Inc.,Downstream,~$50 billion,~$10 billion
7,HP Inc.,Downstream,~$30 billion,~$8 billion
8,Lenovo Group Limited,Downstream,~$20 billion,~$6 billion
9,Acer Inc.,Downstream,~$5 billion,~$2 billion
10,ASUS Tek Computer Inc.,Downstream,~$10 billion,~$3 billion
11,Microsoft Corporation,Downstream,$3 trillion,~$15 billion
12,Amazon.com, Inc.,Downstream,$2 trillion,~$12 billion
13,Google LLC,Downstream,$2 trillion,~$10 billion
14,Apple Inc.,Downstream,$3.5 trillion,~$20 billion
15,Samsung Electronics Co., Ltd.,Downstream,$400 billion,~$5 billion
16,Total Market Cap (Upstream + Downstream),Aggregate,$11.755 trillion,N/A
17,Total Economic Exchange (Absolute Values),Aggregate,N/A,~$104 billion

